Date,QQQ_Return,QQQ_Realized_Volatility,QQQ_Volume,VIX,RSI_14,VXN,FedRate
2018-02-22,-0.00012111531850222956,0.28391799714888816,37074400,18.719999313354492,45.694865828796935,20.90999984741211,1.6050000190734863
2018-02-23,0.020448900351627053,0.29277657154399284,50096900,16.489999771118164,54.84744419783584,18.15999984741211,1.6050000190734863
2018-02-26,0.013260496015125245,0.2962904935049142,39266700,15.800000190734863,68.91567406799044,18.1200008392334,1.6080000400543213
2018-02-27,-0.012382933073586844,0.2946519961697114,42209900,18.59000015258789,59.841919661479416,20.489999771118164,1.6349999904632568
2018-02-28,-0.006416892883441605,0.2949872233639198,42936300,19.850000381469727,61.92109589818502,22.010000228881836,1.6180000305175781
2018-03-01,-0.016327166112543035,0.2989160524903169,76809900,22.469999313354492,71.77265821567856,24.739999771118164,1.590000033378601
2018-03-02,0.0091806405204502,0.3005193890351246,57445100,19.59000015258789,70.44243133909625,21.530000686645508,1.6050000190734863
2018-03-05,0.01108491394636757,0.301847934485949,38540200,18.729999542236328,69.26058300093743,20.600000381469727,1.625
2018-03-06,0.004230403692544016,0.2930722180069677,29480900,18.360000610351562,69.11456231933003,20.600000381469727,1.6430000066757202
2018-03-07,0.002313992740623716,0.252927061450471,34609400,17.760000228881836,65.20685969465518,20.43000030517578,1.649999976158142
2018-03-08,0.005504893423006196,0.23869400042311165,25828400,16.540000915527344,61.267547571003924,19.260000228881836,1.6349999904632568
2018-03-09,0.019428048630957484,0.2390324527360322,38310500,14.640000343322754,69.50529642123813,17.299999237060547,1.6349999904632568
2018-03-12,0.0053131478249734965,0.17068958499787948,37635000,15.779999732971191,70.33796963188615,17.559999465942383,1.6430000066757202
2018-03-13,-0.013614483289998258,0.1785272604926147,55638900,16.350000381469727,64.6533941646876,19.239999771118164,1.690000057220459
2018-03-14,-0.00017466308545144305,0.17260757424093479,40536400,17.229999542236328,64.62582531771284,19.520000457763672,1.718000054359436
2018-03-15,-0.0008738412667899098,0.17325320388437482,28810400,16.59000015258789,58.2758261462503,18.450000762939453,1.7330000400543213
2018-03-16,-0.002973229168972469,0.16530138670407865,31176700,15.800000190734863,51.6684084543962,17.639999389648438,1.7380000352859497
2018-03-19,-0.021336133972001847,0.17381435074848361,71395100,19.020000457763672,47.716399369316285,22.059999465942383,1.7280000448226929
2018-03-20,0.003291582395667403,0.17307786166929853,34075700,18.200000762939453,51.817115677458084,22.1299991607666,1.7580000162124634
2018-03-21,-0.004354692120414394,0.173968631265853,43863500,17.860000610351562,57.70491803278688,22.059999465942383,1.7100000381469727
2018-03-22,-0.02468220851605951,0.19463898251226638,66607300,23.34000015258789,42.7604190203461,26.6299991607666,1.6829999685287476
2018-03-23,-0.02635143094711312,0.2143155415505638,80110400,24.8700008392334,30.006651666839858,28.350000381469727,1.687999963760376
2018-03-26,0.037158456821660746,0.24208002623951883,57481500,21.030000686645508,43.04718038150148,25.149999618530273,1.7050000429153442
2018-03-27,-0.032360012718244624,0.25943761330359283,78889100,22.5,35.37497887009482,29.010000228881836,1.7330000400543213
2018-03-28,-0.011503439680090044,0.25905716953019836,89369700,22.8700008392334,31.66717778649455,30.190000534057617,1.6950000524520874
2018-03-29,0.018314764952463758,0.2689510248310105,68692600,19.969999313354492,30.81430781717404,26.68000030517578,1.6699999570846558
2018-04-02,-0.028852102955951087,0.2806926146341925,85549400,23.6200008392334,25.23822765554533,29.920000076293945,1.6829999685287476
2018-04-03,0.011253657809068729,0.28186346638938453,64090000,21.100000381469727,30.48594461185526,28.049999237060547,1.7130000591278076
2018-04-04,0.01577052007564861,0.2851243378896919,65768700,20.059999465942383,34.95712800773467,26.290000915527344,1.6679999828338623
2018-04-05,0.005696411287924308,0.2855805364129229,43054900,18.940000534057617,36.58712486371373,25.030000686645508,1.6749999523162842
2018-04-06,-0.02502324093016295,0.2958351211222779,59870900,21.489999771118164,33.60220339392542,27.43000030517578,1.6799999475479126
2018-04-09,0.007022503320695206,0.296453594752073,41810400,21.770000457763672,38.42921223589271,26.950000762939453,1.6749999523162842
2018-04-10,0.02206346444185381,0.29912553046113133,48296800,20.469999313354492,42.584089156774745,25.149999618530273,1.6950000524520874
2018-04-11,-0.00576928705693136,0.29763315965758613,41622100,20.239999771118164,42.38883675767566,24.690000534057617,1.6929999589920044
2018-04-12,0.012041632769719257,0.3001031266183739,30467900,18.489999771118164,49.287945514232405,22.899999618530273,1.7050000429153442
